price,bedrooms,bathrooms,address,property_type,url
250000,2,1.0,"Whitchurch Road, Heath",Ground Flat,https://www.rightmove.co.uk/properties/164019641#/?channel=RES_BUY
375000,6,2.0,"Mundy Place, Cardiff",Block of Apartments,https://www.rightmove.co.uk/properties/164019224#/?channel=RES_BUY
324950,2,1.0,"Woolaston Avenue, Cardiff(City), CF23",Terraced,https://www.rightmove.co.uk/properties/164005253#/?channel=RES_BUY
237000,2,,"Glebe Street, PENARTH",Terraced,https://www.rightmove.co.uk/properties/164016779#/?channel=RES_BUY
340000,5,2.0,"Winston Road, Barry, The Vale Of Glamorgan. CF62 9SW",Semi-Detached,https://www.rightmove.co.uk/properties/162147044#/?channel=RES_BUY
215000,3,1.0,"Arthur Street, Barry, The Vale Of Glamorgan. CF63 2RB",End of Terrace,https://www.rightmove.co.uk/properties/164012831#/?channel=RES_BUY
290000,3,1.0,"Whitesands Road, Llanishen, Cardiff. CF14 ",Semi-Detached,https://www.rightmove.co.uk/properties/141720095#/?channel=RES_BUY
225000,2,1.0,"Richard Lewis Close, Danescourt, Cardiff",Terraced,https://www.rightmove.co.uk/properties/156566138#/?channel=RES_BUY
265000,4,1.0,"Dynea Road, Upper Boat, Pontypridd, CF37 5DN",Semi-Detached,https://www.rightmove.co.uk/properties/162785120#/?channel=RES_BUY
220000,2,1.0,"Rowland Drive, Caerphilly",End of Terrace,https://www.rightmove.co.uk/properties/161125568#/?channel=RES_BUY
400000,3,1.0,"Britway Road, Dinas Powys, The Vale Of Glamorgan. CF64 4AF",Semi-Detached,https://www.rightmove.co.uk/properties/164011199#/?channel=RES_BUY
205000,3,1.0,"Cowbridge Road West, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/151469327#/?channel=RES_BUY
225000,3,1.0,"Cardiff Road, Dinas Powys",Terraced,https://www.rightmove.co.uk/properties/153195461#/?channel=RES_BUY
270000,3,1.0,"Moorland Road, Splott, Cardiff",Terraced,https://www.rightmove.co.uk/properties/155212532#/?channel=RES_BUY
245000,2,1.0,"Fairwood Close, Cardiff",End of Terrace,https://www.rightmove.co.uk/properties/164010590#/?channel=RES_BUY
220000,2,1.0,"Rowland Drive, Castle View, Caerphilly, CF83",Terraced,https://www.rightmove.co.uk/properties/160962224#/?channel=RES_BUY
260000,4,1.0,"Meadow Crescent, Tonteg",Semi-Detached,https://www.rightmove.co.uk/properties/160405613#/?channel=RES_BUY
275000,4,1.0,"Court Road, Barry",Terraced,https://www.rightmove.co.uk/properties/164008970#/?channel=RES_BUY
360000,3,1.0,"Africa Gardens, Heath, Cardiff, CF14",Terraced,https://www.rightmove.co.uk/properties/159196007#/?channel=RES_BUY
290000,3,1.0,"Butterfield Drive, Pontprennau, CARDIFF",Semi-Detached,https://www.rightmove.co.uk/properties/164007596#/?channel=RES_BUY
370000,3,1.0,"Ty Pica Drive, Wenvoe, Cardiff",Detached Bungalow,https://www.rightmove.co.uk/properties/162062999#/?channel=RES_BUY
385000,4,2.0,"Stockland Street, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163512563#/?channel=RES_BUY
250000,3,2.0,"Pearl Street, Cardiff(City), CF24",End of Terrace,https://www.rightmove.co.uk/properties/159560405#/?channel=RES_BUY
319950,3,2.0,"Ty Twyn, Church Village, CF38",Detached,https://www.rightmove.co.uk/properties/163959416#/?channel=RES_BUY
220000,2,1.0,"Rowland Drive, Watford Park, Caerphilly, CF83 1TX",End of Terrace,https://www.rightmove.co.uk/properties/160707185#/?channel=RES_BUY
485000,3,1.0,"Ambleside Avenue, Roath Park, Cardiff",Terraced,https://www.rightmove.co.uk/properties/160263284#/?channel=RES_BUY
495000,4,2.0,"George Crescent, Cardiff, CF3",Detached,https://www.rightmove.co.uk/properties/164001572#/?channel=RES_BUY
260000,4,1.0,"Meadow Crescent, Tonteg, Pontypridd, CF38",Semi-Detached Bungalow,https://www.rightmove.co.uk/properties/146078534#/?channel=RES_BUY
249950,3,1.0,"Pearl Street, Adamsdown, Cardiff",Terraced,https://www.rightmove.co.uk/properties/163998083#/?channel=RES_BUY
